ts,open,high,low,close,volume
2025-12-29,73.45,74.11,73.08,73.45,236948
2025-12-30,73.05,76.69,73.0,76.48,526978
2025-12-31,76.49,76.49,75.01,75.33,353220
2026-01-05,75.56,79.3,75.1,78.35,564529
2026-01-06,78.69,78.8,77.5,78.48,376661
2026-01-07,78.3,79.02,77.5,78.03,310867
2026-01-08,78.4,79.0,77.26,77.58,306489
2026-01-09,77.46,78.98,77.31,78.3,330851
2026-01-12,79.14,81.17,78.6,80.85,524379
2026-01-13,80.82,80.82,78.28,78.33,438200
2026-01-14,78.61,81.36,77.01,77.95,556637
2026-01-15,77.89,81.48,77.71,80.84,609284
2026-01-16,81.17,82.15,80.51,80.85,469662
2026-01-19,80.85,81.55,79.91,80.27,321167
2026-01-20,80.01,81.18,78.8,79.38,341004
2026-01-21,79.15,81.5,79.09,80.08,376061
2026-01-22,80.6,82.59,79.03,79.12,362422
2026-01-23,79.35,80.99,79.19,79.38,396278
2026-01-26,79.5,80.45,77.2,77.2,418630
2026-01-27,77.01,79.7,76.75,78.44,347928
2026-01-28,78.0,78.27,75.85,76.41,447352
2026-01-29,76.44,77.03,75.68,75.87,306046
2026-01-30,75.68,76.08,73.21,74.63,336389
2026-02-02,74.52,77.0,74.45,75.04,334006
2026-02-03,75.51,75.68,74.22,75.43,267412
2026-02-04,75.29,75.78,74.3,75.57,218880
2026-02-05,75.58,75.66,73.75,74.53,227301
2026-02-06,73.84,75.28,73.39,74.65,214363
2026-02-09,75.36,77.33,75.35,76.85,290696
2026-02-10,76.8,78.59,76.53,78.37,323531
2026-02-11,78.0,78.0,75.38,75.45,345775
2026-02-12,75.35,75.88,74.9,75.8,200984
2026-02-13,75.5,75.67,74.92,75.12,181427
2026-02-24,77.03,77.11,74.33,74.35,345275
2026-02-25,74.28,74.44,73.42,74.2,269445
2026-02-26,73.94,74.08,73.38,73.8,208913
2026-02-27,73.53,73.87,72.82,72.92,271148
2026-03-02,71.75,72.42,70.91,71.38,284498
2026-03-03,71.3,71.83,69.01,69.01,333147
2026-03-04,68.23,69.02,67.62,67.99,256315
2026-03-05,71.4,71.69,69.77,70.39,375734
2026-03-06,70.28,71.98,70.01,71.47,269300
2026-03-09,70.89,71.37,69.96,70.79,299026
2026-03-10,70.92,71.62,70.76,71.04,250925
2026-03-11,71.04,71.85,70.95,71.15,230867
2026-03-12,71.07,71.3,69.8,71.16,259199
2026-03-13,70.98,72.79,70.64,72.79,411728
2026-03-16,71.5,71.9,70.4,71.8,333595
2026-03-17,71.93,72.48,70.82,71.2,277423
2026-03-18,71.17,71.48,69.19,70.0,280907
2026-03-19,69.29,69.98,69.12,69.23,216801
2026-03-20,69.09,69.64,67.75,68.75,257872
2026-03-23,68.01,68.26,65.0,65.33,305923
2026-03-24,67.03,67.1,65.0,66.1,169021
2026-03-25,66.59,68.12,66.12,68.01,193831
2026-03-26,68.0,68.6,67.32,67.52,142422
2026-03-27,66.95,68.72,66.6,68.54,171319
2026-03-30,67.58,68.0,66.75,67.38,122250
2026-03-31,68.15,68.88,66.95,67.0,146170
2026-04-01,68.5,68.66,67.67,68.22,125982
2026-04-02,68.0,68.05,66.0,66.87,193428
2026-04-03,66.71,67.08,66.01,66.06,90100
2026-04-07,66.18,66.25,64.55,64.75,142039
2026-04-08,66.02,67.45,66.01,67.45,234652
2026-04-09,66.77,66.88,65.87,66.04,201658
2026-04-10,66.72,68.59,66.72,68.11,333761
