ts,open,high,low,close,volume
2026-01-15,5.2,5.29,5.03,5.09,3580357
2026-01-16,5.24,5.4,5.0,5.04,2623724
2026-01-19,4.98,5.14,4.95,5.08,1592662
2026-01-20,5.08,5.15,4.98,5.07,1308899
2026-01-21,5.03,5.19,4.98,5.11,1412416
2026-01-22,5.1,5.18,5.06,5.17,1291439
2026-01-23,5.21,5.69,5.2,5.69,2091097
2026-01-26,5.86,5.98,5.53,5.59,4466209
2026-01-27,5.48,5.82,5.38,5.73,3093244
2026-01-28,5.68,5.69,5.58,5.62,1585548
2026-01-29,5.58,5.71,5.46,5.54,1687304
2026-01-30,5.5,5.54,5.21,5.37,1877334
2026-02-02,5.33,5.61,5.32,5.42,1829434
2026-02-03,5.52,5.68,5.51,5.64,1896555
2026-02-04,5.59,5.75,5.56,5.73,2112798
2026-02-05,5.69,5.69,5.42,5.43,1758726
2026-02-06,5.36,5.63,5.32,5.56,1545741
2026-02-09,5.64,5.93,5.64,5.72,2328249
2026-02-10,5.72,5.75,5.56,5.58,1369815
2026-02-11,5.65,5.79,5.58,5.59,1487587
2026-02-12,5.6,5.66,5.51,5.64,1147221
2026-02-13,5.58,5.59,5.43,5.45,1184293
2026-02-24,5.5,5.59,5.5,5.53,947388
2026-02-25,5.55,5.73,5.52,5.66,1332580
2026-02-26,5.65,5.71,5.61,5.63,916512
2026-02-27,5.62,5.84,5.6,5.83,1737065
2026-03-02,5.73,5.83,5.68,5.79,1441299
2026-03-03,5.76,5.89,5.65,5.66,1627164
2026-03-04,5.61,5.88,5.58,5.8,1845105
2026-03-05,5.94,6.35,5.93,6.07,3090942
2026-03-06,6.15,6.39,6.07,6.25,2806388
2026-03-09,6.2,6.47,6.15,6.4,2978030
2026-03-10,6.31,6.6,6.16,6.29,2707685
2026-03-11,6.25,6.8,6.09,6.65,3916179
2026-03-12,6.65,6.73,6.46,6.67,3389319
2026-03-13,6.63,6.63,6.23,6.26,2872234
2026-03-16,6.3,6.35,5.98,5.99,1951767
2026-03-17,6.01,6.37,5.95,6.12,2361508
2026-03-18,6.1,6.25,5.95,6.02,1617592
2026-03-19,5.96,6.18,5.9,6.04,1630485
2026-03-20,6.01,6.4,6.0,6.12,2434382
2026-03-23,6.0,6.12,5.69,5.73,2446583
2026-03-24,5.86,6.17,5.68,6.17,3009340
2026-03-25,6.16,6.58,6.1,6.39,3299921
2026-03-26,6.37,6.39,6.12,6.14,2142780
2026-03-27,6.07,6.26,5.95,6.09,1509706
2026-03-30,6.0,6.05,5.66,5.78,1811313
2026-03-31,5.73,5.8,5.47,5.48,1557835
2026-04-01,5.6,5.63,5.5,5.56,844450
2026-04-02,5.56,5.61,5.32,5.38,1215592
2026-04-03,5.36,5.37,5.19,5.2,860660
2026-04-07,5.2,5.33,5.18,5.26,658117
2026-04-08,5.35,5.41,5.34,5.38,1101071
2026-04-09,5.34,5.35,5.23,5.25,654918
2026-04-10,5.25,5.33,5.22,5.22,790706
2026-04-13,5.18,5.33,5.16,5.32,740758
2026-04-14,5.33,5.41,5.28,5.34,727847
2026-04-15,5.34,5.35,5.26,5.3,599046
2026-04-16,5.29,5.35,5.25,5.33,623190
2026-04-17,5.3,5.38,5.29,5.34,676191
